"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 08, 2021","381.26","380.59","381.49","377.10","71.68M","0.57%"
"Jan 07, 2021","379.10","376.10","379.90","375.91","66.75M","1.49%"
"Jan 06, 2021","373.55","369.71","376.98","369.12","102.12M","0.60%"
"Jan 05, 2021","371.33","368.10","372.50","368.05","65.33M","0.69%"
"Jan 04, 2021","368.79","375.31","375.45","364.82","106.39M","-1.36%"
"Dec 31, 2020","373.88","371.78","374.66","371.23","78.52M","0.51%"
"Dec 30, 2020","371.99","372.34","373.10","371.57","49.14M","0.14%"
"Dec 29, 2020","371.46","373.81","374.00","370.83","53.13M","-0.19%"
"Dec 28, 2020","372.17","371.74","372.59","371.07","38.68M","0.86%"
"Dec 24, 2020","369.00","368.08","369.03","367.45","26.46M","0.39%"
"Dec 23, 2020","367.57","368.28","369.62","367.22","44.58M","0.09%"
"Dec 22, 2020","367.24","368.21","368.33","366.03","46.47M","-0.17%"
"Dec 21, 2020","367.86","364.97","378.46","362.03","92.56M","-0.36%"
"Dec 18, 2020","369.18","370.97","371.15","367.02","136.54M","-0.82%"
"Dec 17, 2020","372.24","371.94","372.46","371.05","62.66M","0.56%"
"Dec 16, 2020","370.17","369.82","371.16","368.87","57.28M","0.16%"
"Dec 15, 2020","369.59","367.40","369.59","365.92","63.22M","1.35%"
"Dec 14, 2020","364.66","368.64","369.80","364.47","68.26M","-0.45%"
"Dec 11, 2020","366.30","364.90","366.74","363.26","57.70M","-0.12%"
"Dec 10, 2020","366.73","365.37","367.86","364.43","55.62M","-0.03%"
"Dec 09, 2020","366.85","370.88","371.05","365.95","72.00M","-0.90%"
"Dec 08, 2020","370.17","367.72","370.78","367.67","41.62M","0.29%"
"Dec 07, 2020","369.09","369.02","369.62","367.72","46.97M","-0.21%"
"Dec 04, 2020","369.85","367.32","369.85","367.22","50.75M","0.86%"
"Dec 03, 2020","366.69","366.68","368.19","365.50","62.10M","-0.03%"
"Dec 02, 2020","366.79","364.82","366.96","364.20","43.71M","0.21%"
"Dec 01, 2020","366.02","365.57","367.68","364.93","73.07M","1.09%"
"Nov 30, 2020","362.06","362.83","363.12","359.17","80.85M","-0.44%"
"Nov 27, 2020","363.67","363.84","364.18","362.58","28.51M","0.28%"
"Nov 25, 2020","362.66","363.13","363.16","361.48","45.33M","-0.15%"
"Nov 24, 2020","363.22","360.21","363.81","359.29","61.29M","1.61%"
"Nov 23, 2020","357.46","357.28","358.82","354.86","61.33M","0.60%"
"Nov 20, 2020","355.33","357.50","357.72","355.25","70.41M","-0.68%"
"Nov 19, 2020","357.78","355.60","358.18","354.15","58.03M","0.42%"
