"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 22, 2020","74.06","73.19","74.37","71.67","3.05M","1.58%"
"Sep 21, 2020","72.91","73.07","73.55","69.29","4.89M","-5.50%"
"Sep 18, 2020","77.15","79.35","79.70","75.77","2.09M","-2.78%"
"Sep 17, 2020","79.36","77.56","80.60","77.16","3.14M","-1.37%"
"Sep 16, 2020","80.46","81.04","83.25","80.38","2.45M","0.49%"
"Sep 15, 2020","80.07","81.76","82.07","79.59","1.63M","-0.01%"
"Sep 14, 2020","80.08","78.85","80.88","78.67","1.35M","3.57%"
"Sep 13, 2020","77.32","77.32","77.32","77.32","-","0.00%"
"Sep 11, 2020","77.32","77.14","78.67","75.47","2.49M","1.43%"
"Sep 10, 2020","76.23","80.67","81.60","75.50","2.39M","-4.32%"
"Sep 09, 2020","79.67","78.15","81.82","77.72","2.59M","4.86%"
"Sep 08, 2020","75.98","78.49","78.85","75.68","3.71M","-6.78%"
"Sep 04, 2020","81.51","84.00","84.91","77.42","3.61M","-1.65%"
"Sep 03, 2020","82.88","90.03","91.24","80.81","5.25M","-8.20%"
"Sep 02, 2020","90.28","87.42","90.95","87.05","2.63M","4.60%"
"Sep 01, 2020","86.31","83.52","86.31","83.05","1.90M","2.87%"
"Aug 31, 2020","83.90","85.76","85.79","83.70","2.60M","-2.78%"
"Aug 30, 2020","86.30","86.30","86.30","86.30","-","0.00%"
"Aug 28, 2020","86.30","85.80","86.89","84.68","2.22M","1.82%"
"Aug 27, 2020","84.76","84.15","85.96","83.53","2.53M","1.86%"
"Aug 26, 2020","83.21","82.55","83.45","81.74","1.81M","0.85%"
"Aug 25, 2020","82.51","83.80","83.80","81.23","2.36M","-0.69%"
"Aug 24, 2020","83.08","79.78","83.08","79.78","2.71M","4.14%"
"Aug 23, 2020","79.78","79.78","79.78","79.78","-","0.00%"
"Aug 21, 2020","79.78","77.86","80.01","77.74","1.66M","2.12%"
"Aug 20, 2020","78.12","76.50","78.40","76.41","1.47M","0.58%"
"Aug 19, 2020","77.67","78.77","79.60","77.31","2.08M","-0.88%"
"Aug 18, 2020","78.36","79.11","79.32","77.55","1.72M","-0.81%"
"Aug 17, 2020","79.00","80.01","80.06","78.63","1.57M","-0.74%"
"Aug 14, 2020","79.59","78.42","80.02","78.16","1.65M","0.24%"
"Aug 13, 2020","79.40","79.24","80.06","78.48","1.70M","-0.71%"
"Aug 12, 2020","79.97","79.78","80.43","78.87","2.14M","3.13%"
"Aug 11, 2020","77.54","80.71","81.43","76.97","3.81M","-1.05%"
"Aug 10, 2020","78.36","75.39","78.44","75.39","2.79M","3.94%"
"Aug 09, 2020","75.39","75.39","75.39","75.39","-","0.00%"
"Aug 08, 2020","75.39","75.39","75.39","75.39","-","0.00%"
"Aug 07, 2020","75.39","74.31","75.62","73.71","2.74M","0.60%"
"Aug 06, 2020","74.94","73.05","74.94","73.00","2.58M","2.22%"
"Aug 05, 2020","73.31","71.76","73.52","71.74","2.59M","4.10%"
"Aug 04, 2020","70.42","69.18","70.42","68.74","1.53M","1.79%"
"Aug 03, 2020","69.18","68.42","69.52","68.15","1.76M","2.70%"
"Aug 02, 2020","67.36","67.36","67.36","67.36","-","0.00%"
"Jul 31, 2020","67.36","66.99","67.48","64.22","2.96M","1.20%"
"Jul 30, 2020","66.56","65.87","66.91","64.01","3.61M","-2.55%"
"Jul 29, 2020","68.30","67.31","68.73","67.00","1.88M","1.80%"
"Jul 28, 2020","67.09","68.68","68.68","66.99","2.05M","-2.32%"
"Jul 27, 2020","68.68","67.71","68.88","67.47","2.35M","1.39%"
"Jul 26, 2020","67.74","67.74","67.74","67.74","-","0.00%"
"Jul 25, 2020","67.74","67.74","67.74","67.74","-","0.00%"
"Jul 24, 2020","67.74","69.20","69.20","67.29","2.46M","-2.11%"
"Jul 23, 2020","69.20","71.64","71.70","68.45","2.72M","-3.78%"
"Jul 22, 2020","71.92","70.30","72.18","70.30","1.93M","1.77%"
"Jul 21, 2020","70.67","70.92","72.10","70.07","2.91M","1.80%"
"Jul 20, 2020","69.42","69.21","70.01","68.10","2.90M","0.04%"
"Jul 17, 2020","69.39","70.38","70.38","68.98","2.80M","-0.63%"
"Jul 16, 2020","69.83","69.49","70.94","68.66","3.44M","-1.50%"
"Jul 15, 2020","70.89","72.14","72.15","69.48","5.37M","2.66%"
"Jul 14, 2020","69.05","64.71","69.44","64.36","4.75M","6.15%"
"Jul 13, 2020","65.05","64.87","69.07","64.70","5.24M","0.28%"
"Jul 12, 2020","64.87","64.87","64.87","64.87","-","0.00%"
"Jul 11, 2020","64.87","64.87","64.87","64.87","-","0.00%"
"Jul 10, 2020","64.87","62.24","65.02","61.69","3.69M","4.23%"
"Jul 09, 2020","62.24","65.00","65.14","60.84","5.07M","-4.05%"
"Jul 08, 2020","64.87","64.04","65.16","63.03","3.31M","2.00%"
"Jul 07, 2020","63.60","65.11","65.74","63.40","3.29M","-4.49%"
"Jul 06, 2020","66.59","63.30","66.64","63.30","3.47M","5.20%"
"Jul 05, 2020","63.30","63.30","63.30","63.30","-","0.00%"
"Jul 04, 2020","63.30","63.30","63.30","63.30","-","0.00%"
"Jul 02, 2020","63.30","65.25","65.94","62.90","4.45M","1.41%"
"Jul 01, 2020","62.42","63.59","64.59","62.34","3.81M","-0.62%"
"Jun 30, 2020","62.81","60.82","63.67","60.60","4.87M","2.18%"
"Jun 29, 2020","61.47","58.81","61.47","58.05","4.32M","6.77%"
"Jun 26, 2020","57.57","61.40","61.77","57.15","7.60M","-8.34%"
"Jun 25, 2020","62.81","59.89","62.99","59.02","5.63M","3.25%"
"Jun 24, 2020","60.83","64.20","64.54","59.54","9.14M","-7.99%"
"Jun 23, 2020","66.11","67.00","67.25","65.71","3.41M","1.50%"
"Jun 22, 2020","65.13","63.34","65.34","62.49","3.98M","1.85%"
"Jun 19, 2020","63.95","68.21","68.21","63.15","6.38M","-2.34%"
"Jun 18, 2020","65.48","64.43","66.04","63.71","3.64M","-0.49%"
"Jun 17, 2020","65.80","67.88","67.90","65.44","4.33M","-2.19%"
"Jun 16, 2020","67.27","69.68","69.68","63.63","7.59M","6.25%"
"Jun 15, 2020","63.31","57.31","64.13","56.61","6.64M","2.08%"
"Jun 12, 2020","62.02","63.65","64.59","58.36","8.89M","5.42%"
"Jun 11, 2020","58.83","66.98","68.20","58.31","12.25M","-20.55%"
"Jun 10, 2020","74.05","76.35","77.10","73.59","8.16M","-3.22%"
"Jun 09, 2020","76.51","76.35","77.82","75.40","6.63M","-3.08%"
"Jun 08, 2020","78.94","76.43","78.94","76.30","5.88M","5.38%"
"Jun 07, 2020","74.91","74.91","74.91","74.91","-","0.00%"
"Jun 05, 2020","74.91","74.12","76.90","73.64","7.00M","9.18%"
"Jun 04, 2020","68.61","67.84","69.38","67.05","4.75M","0.15%"
"Jun 03, 2020","68.51","66.39","69.06","65.83","5.17M","6.33%"
"Jun 02, 2020","64.43","63.52","64.43","62.90","4.30M","3.09%"
"Jun 01, 2020","62.50","61.43","62.77","60.70","2.88M","1.17%"
"May 29, 2020","61.78","61.12","62.61","59.21","6.39M","-0.26%"
"May 28, 2020","61.94","64.50","64.51","61.55","4.92M","-1.48%"
"May 27, 2020","62.87","61.54","62.89","59.10","6.02M","6.51%"
"May 26, 2020","59.03","59.54","60.24","58.83","5.09M","6.51%"
"May 22, 2020","55.42","55.42","55.55","54.23","3.80M","-0.16%"
"May 21, 2020","55.51","55.87","57.09","54.72","5.93M","-0.95%"
"May 20, 2020","56.04","55.75","56.54","55.33","5.48M","4.51%"
"May 19, 2020","53.62","55.89","56.28","53.62","7.57M","-4.52%"
"May 18, 2020","56.16","54.68","56.95","54.61","5.58M","11.41%"
"May 15, 2020","50.41","48.67","50.64","48.25","6.39M","0.76%"
"May 14, 2020","50.03","45.99","50.03","44.87","8.08M","4.91%"
"May 13, 2020","47.69","50.25","50.65","46.52","7.28M","-6.49%"
