"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 18, 2021","111.85","111.85","111.85","111.85","-","0.00%"
"Apr 17, 2021","111.85","111.85","111.85","111.85","-","0.00%"
"Apr 16, 2021","111.85","112.12","112.70","109.36","426.20K","0.63%"
"Apr 15, 2021","111.15","110.82","111.33","108.51","476.57K","1.22%"
"Apr 14, 2021","109.81","107.75","113.50","107.75","656.36K","2.91%"
"Apr 13, 2021","106.71","107.47","108.20","103.32","581.98K","-0.75%"
"Apr 12, 2021","107.52","108.99","109.00","105.79","333.03K","-1.24%"
"Apr 11, 2021","108.87","108.87","108.87","108.87","-","0.00%"
"Apr 10, 2021","108.87","108.87","108.87","108.87","-","0.00%"
"Apr 09, 2021","108.87","108.00","109.49","107.07","352.97K","0.12%"
"Apr 08, 2021","108.74","107.90","109.11","104.31","545.56K","2.64%"
"Apr 07, 2021","105.94","111.60","111.60","105.00","739.77K","-5.05%"
"Apr 06, 2021","111.57","112.64","115.00","110.90","534.58K","-0.72%"
"Apr 05, 2021","112.38","114.58","114.63","110.42","792.57K","1.42%"
"Apr 01, 2021","110.81","108.72","110.82","108.15","738.68K","3.98%"
"Mar 31, 2021","106.57","104.09","108.60","104.09","619.49K","3.96%"
"Mar 30, 2021","102.51","97.94","103.24","96.00","798.31K","4.98%"
"Mar 29, 2021","97.65","105.05","106.84","97.14","1.01M","-8.35%"
"Mar 26, 2021","106.55","104.29","106.67","100.11","1.26M","5.39%"
"Mar 25, 2021","101.10","91.22","102.21","89.62","1.37M","7.06%"
"Mar 24, 2021","94.43","105.10","107.33","94.43","1.02M","-6.97%"
"Mar 23, 2021","101.51","110.80","111.28","99.93","1.13M","-10.85%"
"Mar 22, 2021","113.87","118.09","118.19","112.18","611.39K","-2.31%"
"Mar 21, 2021","116.56","116.56","116.56","116.56","-","0.00%"
"Mar 19, 2021","116.56","112.90","118.95","110.62","572.67K","2.25%"
"Mar 18, 2021","114.00","123.01","126.20","113.00","962.77K","-9.13%"
"Mar 17, 2021","125.46","119.90","126.00","117.42","1.09M","2.49%"
"Mar 16, 2021","122.41","127.59","127.59","120.24","787.15K","-5.02%"
"Mar 15, 2021","128.88","127.24","128.88","125.00","748.76K","0.84%"
"Mar 14, 2021","127.81","127.81","127.81","127.81","-","0.00%"
"Mar 12, 2021","127.81","124.96","128.03","124.42","701.13K","2.10%"
"Mar 11, 2021","125.18","121.31","125.38","120.29","788.74K","6.48%"
"Mar 10, 2021","117.56","115.12","120.00","114.75","910.49K","5.31%"
"Mar 09, 2021","111.63","110.03","114.00","108.80","675.11K","6.09%"
"Mar 08, 2021","105.22","105.96","110.08","103.70","921.97K","1.67%"
"Mar 05, 2021","103.49","102.46","104.17","89.35","1.31M","6.05%"
"Mar 04, 2021","97.59","105.15","108.32","91.91","1.66M","-8.19%"
"Mar 03, 2021","106.29","111.04","113.68","106.20","1.00M","-3.21%"
